Ticker,MAE,RMSE,MAPE,Status
NVDA,9.690397644042969,10.658633783751029,0.04306936491196122,✅ Success
AAPL,7.059478759765625,8.513776349095927,0.023322633145986132,✅ Success
MSFT,5.906732177734375,6.2709205640120365,0.014243171477122354,✅ Success
GOOGL,6.887542724609375,7.92778706732797,0.01769220069791721,✅ Success
AMZN,4.22850341796875,5.051149549059521,0.015984766909895053,✅ Success
TSLA,11.883718872070313,13.683129849973872,0.027903300718971312,✅ Success
SPY,2.808514404296875,3.797668384588725,0.0037902747962483387,✅ Success
QQQ,8.693096923828126,10.441808459854991,0.01226831404108115,✅ Success
2330.TW,67.405078125,74.79946924423862,0.030307164160835797,✅ Success
2454.TW,203.38818359375,240.56081087590283,0.05788489749768042,✅ Success
2317.TW,3.035169982910156,3.512211607813124,0.012252608861105792,✅ Success
BTC-USD,4530.6703125,4662.710175624532,0.05884518754398023,✅ Success
ETH-USD,181.5122802734375,189.58470092603125,0.08560515763798425,✅ Success
